ID,Exec,FO,Tempo
1247-0.01.0.95.200.20.0.8.SEGMENTADO.TORNEIO_4.1000,0,486.350000,594.119409
1247-0.01.0.95.200.20.0.8.SEGMENTADO.TORNEIO_4.1000,1,491.350000,552.461449
1247-0.01.0.95.200.20.0.8.SEGMENTADO.TORNEIO_4.1000,2,493.695000,516.131116
1247-0.01.0.95.200.20.0.8.SEGMENTADO.TORNEIO_4.1000,3,379.875000,761.194898
1247-0.01.0.95.200.20.0.8.SEGMENTADO.TORNEIO_4.1000,4,492.875000,603.408536
1247-0.01.0.95.200.20.0.8.SEGMENTADO.TORNEIO_4.1000,5,439.075000,689.957187
1247-0.01.0.95.200.20.0.8.SEGMENTADO.TORNEIO_4.1000,6,433.330000,582.444769
1247-0.01.0.95.200.20.0.8.SEGMENTADO.TORNEIO_4.1000,7,55.200000,331.292753
1247-0.01.0.95.200.20.0.8.SEGMENTADO.TORNEIO_4.1000,8,55.200000,368.571194
1247-0.01.0.95.200.20.0.8.SEGMENTADO.TORNEIO_4.1000,9,54.450000,394.437705
