ID,Exec,FO,Tempo
1689-0.01.0.99.200.10.0.8.MULTIPLOS_PONTOS_4.ROLETA.500,0,111.120000,334.671497
1689-0.01.0.99.200.10.0.8.MULTIPLOS_PONTOS_4.ROLETA.500,1,75.225000,330.460125
1689-0.01.0.99.200.10.0.8.MULTIPLOS_PONTOS_4.ROLETA.500,2,54.550000,324.323186
1689-0.01.0.99.200.10.0.8.MULTIPLOS_PONTOS_4.ROLETA.500,3,166.355000,347.888244
1689-0.01.0.99.200.10.0.8.MULTIPLOS_PONTOS_4.ROLETA.500,4,63.430000,321.942800
1689-0.01.0.99.200.10.0.8.MULTIPLOS_PONTOS_4.ROLETA.500,5,54.500000,327.635946
1689-0.01.0.99.200.10.0.8.MULTIPLOS_PONTOS_4.ROLETA.500,6,17.345000,323.519506
1689-0.01.0.99.200.10.0.8.MULTIPLOS_PONTOS_4.ROLETA.500,7,189.585000,343.751850
1689-0.01.0.99.200.10.0.8.MULTIPLOS_PONTOS_4.ROLETA.500,8,186.865000,356.888713
1689-0.01.0.99.200.10.0.8.MULTIPLOS_PONTOS_4.ROLETA.500,9,76.450000,329.199713
