ID,Exec,FO,Tempo
1700-0.01.0.99.200.10.0.8.SEGMENTADO.ROLETA.1000,0,66.635000,332.336896
1700-0.01.0.99.200.10.0.8.SEGMENTADO.ROLETA.1000,1,92.610000,328.419465
1700-0.01.0.99.200.10.0.8.SEGMENTADO.ROLETA.1000,2,102.140000,335.166362
1700-0.01.0.99.200.10.0.8.SEGMENTADO.ROLETA.1000,3,54.600000,326.350846
1700-0.01.0.99.200.10.0.8.SEGMENTADO.ROLETA.1000,4,69.000000,326.657788
1700-0.01.0.99.200.10.0.8.SEGMENTADO.ROLETA.1000,5,54.300000,329.829554
1700-0.01.0.99.200.10.0.8.SEGMENTADO.ROLETA.1000,6,54.600000,322.466534
1700-0.01.0.99.200.10.0.8.SEGMENTADO.ROLETA.1000,7,159.480000,342.054858
1700-0.01.0.99.200.10.0.8.SEGMENTADO.ROLETA.1000,8,54.450000,328.701671
1700-0.01.0.99.200.10.0.8.SEGMENTADO.ROLETA.1000,9,14.450000,317.717569
