ID,Exec,FO,Tempo
179-0.005.0.95.200.20.0.8.UNIFORME.ROLETA.1000,0,215.830000,474.298682
179-0.005.0.95.200.20.0.8.UNIFORME.ROLETA.1000,1,323.245000,504.890015
179-0.005.0.95.200.20.0.8.UNIFORME.ROLETA.1000,2,391.640000,570.771927
179-0.005.0.95.200.20.0.8.UNIFORME.ROLETA.1000,3,277.475000,472.267278
179-0.005.0.95.200.20.0.8.UNIFORME.ROLETA.1000,4,388.805000,530.410148
179-0.005.0.95.200.20.0.8.UNIFORME.ROLETA.1000,5,276.775000,416.013361
179-0.005.0.95.200.20.0.8.UNIFORME.ROLETA.1000,6,262.700000,450.067436
179-0.005.0.95.200.20.0.8.UNIFORME.ROLETA.1000,7,357.205000,445.439803
179-0.005.0.95.200.20.0.8.UNIFORME.ROLETA.1000,8,54.900000,411.046169
179-0.005.0.95.200.20.0.8.UNIFORME.ROLETA.1000,9,411.485000,493.527430
