ID,Exec,FO,Tempo
186-0.005.0.95.400.10.0.5.UM_PONTO.ROLETA.500,0,8.550000,770.037756
186-0.005.0.95.400.10.0.5.UM_PONTO.ROLETA.500,1,6.900000,705.390575
186-0.005.0.95.400.10.0.5.UM_PONTO.ROLETA.500,2,7.000000,784.413143
186-0.005.0.95.400.10.0.5.UM_PONTO.ROLETA.500,3,7.300000,704.889471
186-0.005.0.95.400.10.0.5.UM_PONTO.ROLETA.500,4,18.200000,788.980359
186-0.005.0.95.400.10.0.5.UM_PONTO.ROLETA.500,5,11.580000,706.815997
186-0.005.0.95.400.10.0.5.UM_PONTO.ROLETA.500,6,13.750000,788.072381
186-0.005.0.95.400.10.0.5.UM_PONTO.ROLETA.500,7,15.300000,735.745294
186-0.005.0.95.400.10.0.5.UM_PONTO.ROLETA.500,8,7.300000,779.813805
186-0.005.0.95.400.10.0.5.UM_PONTO.ROLETA.500,9,9.750000,710.365454
