ID,Exec,FO,Tempo
588-0.005.0.99.200.10.0.8.UM_PONTO.TORNEIO_4.500,0,5.940000,370.601405
588-0.005.0.99.200.10.0.8.UM_PONTO.TORNEIO_4.500,1,7.350000,371.506203
588-0.005.0.99.200.10.0.8.UM_PONTO.TORNEIO_4.500,2,5.560000,411.534863
588-0.005.0.99.200.10.0.8.UM_PONTO.TORNEIO_4.500,3,6.380000,410.842579
588-0.005.0.99.200.10.0.8.UM_PONTO.TORNEIO_4.500,4,6.350000,359.204475
588-0.005.0.99.200.10.0.8.UM_PONTO.TORNEIO_4.500,5,7.560000,327.817708
588-0.005.0.99.200.10.0.8.UM_PONTO.TORNEIO_4.500,6,6.500000,391.590470
588-0.005.0.99.200.10.0.8.UM_PONTO.TORNEIO_4.500,7,16.250000,411.612799
588-0.005.0.99.200.10.0.8.UM_PONTO.TORNEIO_4.500,8,6.950000,408.959990
588-0.005.0.99.200.10.0.8.UM_PONTO.TORNEIO_4.500,9,9.100000,338.598732
